Date, Open, High, Low, Close
04/05/23, 33394.60, 33543.84, 33376.27, 33482.72
04/04/23, 33594.79, 33634.72, 33275.62, 33402.38
04/03/23, 33245.78, 33632.90, 33245.78, 33601.15
03/31/23, 32901.96, 33291.00, 32901.96, 33274.15
03/30/23, 32807.43, 32905.80, 32682.87, 32859.03
03/29/23, 32566.54, 32728.04, 32539.94, 32717.60
03/28/23, 32434.85, 32551.01, 32295.50, 32394.25
03/27/23, 32276.72, 32564.00, 32276.72, 32432.08
03/24/23, 32038.22, 32257.24, 31805.18, 32237.53
03/23/23, 32101.49, 32511.49, 31864.74, 32105.25
03/22/23, 32570.19, 32761.89, 32020.46, 32030.11
03/21/23, 32420.71, 32593.68, 32346.12, 32560.60
03/20/23, 31872.33, 32280.07, 31872.33, 32244.58
03/17/23, 32217.32, 32217.32, 31728.70, 31861.98
03/16/23, 31827.65, 32281.61, 31571.46, 32246.55
03/15/23, 31759.87, 31906.47, 31429.82, 31874.57
03/14/23, 32055.29, 32306.59, 31805.40, 32155.40
03/13/23, 31819.93, 32240.35, 31624.87, 31819.14
03/10/23, 32185.14, 32422.10, 31783.41, 31909.64
03/09/23, 32876.83, 32990.46, 32190.60, 32254.86
03/08/23, 32872.08, 32903.44, 32612.70, 32798.40
03/07/23, 33428.31, 33453.25, 32838.21, 32856.46
03/06/23, 33425.32, 33572.22, 33383.47, 33431.44
03/03/23, 33076.33, 33405.82, 33008.41, 33390.97
03/02/23, 32780.97, 33083.45, 32665.85, 33003.57
03/01/23, 32656.37, 32746.15, 32500.71, 32661.84
02/28/23, 32873.47, 32873.47, 32636.43, 32656.70
02/27/23, 32906.16, 33189.28, 32814.18, 32889.09
02/24/23, 32999.19, 32999.19, 32643.48, 32816.92
02/23/23, 33175.39, 33272.40, 32795.67, 33153.91
02/22/23, 33169.33, 33245.97, 32948.27, 33045.09
02/21/23, 33699.69, 33699.69, 33115.74, 33129.59
02/17/23, 33677.01, 33846.64, 33517.73, 33826.69
02/16/23, 33992.09, 34041.16, 33686.59, 33696.85
02/15/23, 34008.63, 34130.49, 33833.10, 34128.05
02/14/23, 34194.09, 34331.47, 33827.45, 34089.27
02/13/23, 33887.39, 34249.60, 33887.39, 34245.93
02/10/23, 33671.54, 33897.31, 33591.99, 33869.27
02/09/23, 34105.61, 34252.57, 33607.13, 33699.88
02/08/23, 34132.90, 34161.65, 33899.79, 33949.01
02/07/23, 33769.78, 34240.00, 33634.10, 34156.69
02/06/23, 33874.44, 33962.84, 33683.58, 33891.02
02/03/23, 33926.30, 34179.58, 33813.86, 33926.01
02/02/23, 34129.30, 34145.14, 33814.78, 34053.94
02/01/23, 34039.60, 34334.70, 33581.42, 34092.96
01/31/23, 33803.56, 34095.23, 33664.91, 34086.04
01/30/23, 33909.21, 34055.29, 33695.18, 33717.09
01/27/23, 33952.93, 34164.33, 33830.85, 33978.08
01/26/23, 33771.66, 33953.79, 33635.60, 33949.41
01/25/23, 33538.36, 33773.09, 33273.21, 33743.84
01/24/23, 33444.72, 33782.92, 33310.56, 33733.96
01/23/23, 33439.56, 33782.88, 33316.25, 33629.56
01/20/23, 33073.46, 33381.95, 32948.93, 33375.49
01/19/23, 33171.35, 33227.49, 32982.05, 33044.56
01/18/23, 33948.49, 34016.53, 33269.90, 33296.96
01/17/23, 34222.32, 34269.97, 33860.67, 33910.85
01/13/23, 34075.31, 34342.32, 33915.49, 34302.61
01/12/23, 34047.86, 34292.67, 33792.10, 34189.97
01/11/23, 33754.03, 33974.69, 33711.04, 33973.01
01/10/23, 33516.43, 33726.54, 33421.80, 33704.10
01/09/23, 33664.39, 33935.11, 33487.66, 33517.65
01/06/23, 33055.30, 33710.66, 32997.39, 33630.61
01/05/23, 33191.72, 33191.72, 32812.33, 32930.08
01/04/23, 33165.14, 33409.10, 33033.48, 33269.77
01/03/23, 33148.90, 33387.52, 32850.57, 33136.37
12/30/22, 33121.61, 33152.55, 32847.82, 33147.25
12/29/22, 33021.43, 33293.42, 33020.35, 33220.80
12/28/22, 33264.76, 33379.55, 32869.15, 32875.71
12/27/22, 33224.23, 33387.72, 33069.58, 33241.56
12/23/22, 32961.06, 33226.14, 32814.02, 33203.93
12/22/22, 33233.35, 33233.35, 32573.43, 33027.49
12/21/22, 33028.09, 33437.84, 33028.09, 33376.48
12/20/22, 32735.24, 32992.23, 32649.45, 32849.74
12/19/22, 32921.45, 33038.94, 32581.97, 32757.54
12/16/22, 33166.46, 33166.46, 32654.59, 32920.46
12/15/22, 33773.00, 33773.00, 33016.16, 33202.22
12/14/22, 34086.07, 34395.65, 33704.17, 33966.35
12/13/22, 34268.44, 34712.28, 33890.88, 34108.64
12/12/22, 33519.50, 34005.04, 33519.50, 34005.04
12/09/22, 33746.71, 33844.63, 33462.65, 33476.46
12/08/22, 33695.97, 33899.17, 33642.46, 33781.48
12/07/22, 33556.40, 33774.27, 33503.67, 33597.92
12/06/22, 33936.87, 34006.63, 33418.59, 33596.34
12/05/22, 34335.73, 34335.73, 33846.81, 33947.10
12/02/22, 34265.45, 34483.21, 34039.73, 34429.88
12/01/22, 34533.59, 34595.51, 34129.35, 34395.01
11/30/22, 33795.43, 34589.77, 33583.77, 34589.77
11/29/22, 33847.80, 33933.91, 33662.45, 33852.53
11/28/22, 34275.91, 34303.88, 33799.35, 33849.46
11/25/22, 34213.04, 34386.51, 34199.57, 34347.03
11/23/22, 34091.57, 34262.07, 34004.64, 34194.06
11/22/22, 33810.05, 34115.70, 33810.05, 34098.10
11/21/22, 33760.30, 33864.59, 33559.18, 33700.28
11/18/22, 33606.59, 33827.94, 33540.64, 33745.69
11/17/22, 33329.27, 33616.02, 33239.75, 33546.32
11/16/22, 33554.93, 33682.83, 33516.99, 33553.83
11/15/22, 33755.94, 33987.06, 33320.20, 33592.92
11/14/22, 33662.05, 33964.30, 33533.96, 33536.70
11/11/22, 33797.75, 33817.96, 33394.43, 33747.86
11/10/22, 33263.91, 33727.73, 33167.82, 33715.37
11/09/22, 33004.47, 33065.11, 32478.87, 32513.94
11/08/22, 32934.56, 33355.39, 32831.46, 33160.83
11/07/22, 32454.10, 32895.59, 32424.99, 32827.00
11/04/22, 32265.01, 32611.52, 31938.92, 32403.22
11/03/22, 31985.05, 32185.71, 31727.05, 32001.25
11/02/22, 32576.28, 33071.93, 32139.77, 32147.76
11/01/22, 32862.79, 32975.48, 32485.23, 32653.20
10/31/22, 32754.27, 32883.86, 32586.93, 32732.95
10/28/22, 32204.31, 32889.81, 32158.38, 32861.80
10/27/22, 32062.14, 32388.42, 31993.21, 32033.28
10/26/22, 31738.44, 32172.42, 31738.44, 31839.11
10/25/22, 31463.65, 31876.15, 31423.53, 31836.74
10/24/22, 31187.32, 31603.63, 31161.41, 31499.62
10/21/22, 30291.18, 31119.27, 30206.28, 31082.56
10/20/22, 30411.92, 30822.96, 30265.20, 30333.59
10/19/22, 30439.04, 30662.11, 30226.90, 30423.81
10/18/22, 30697.52, 30837.90, 30301.83, 30523.80
10/17/22, 30059.58, 30311.95, 29997.62, 30185.82
10/14/22, 30192.21, 30428.82, 29614.30, 29634.83
10/13/22, 28755.83, 30168.54, 28660.94, 30038.72
10/12/22, 29233.06, 29455.12, 29136.03, 29210.85
10/11/22, 29085.20, 29608.42, 29074.23, 29239.19
10/10/22, 29419.09, 29485.82, 29010.41, 29202.88
10/07/22, 29685.27, 29685.27, 29142.66, 29296.79
10/06/22, 30206.13, 30329.61, 29859.34, 29926.94
10/05/22, 30078.36, 30454.46, 29886.44, 30273.87
10/04/22, 29826.67, 30325.05, 29826.67, 30316.32
10/03/22, 28855.25, 29647.79, 28855.25, 29490.89
09/30/22, 29123.03, 29355.78, 28715.85, 28725.51
09/29/22, 29513.73, 29513.73, 28997.34, 29225.61
09/28/22, 29198.92, 29811.78, 29114.97, 29683.74
09/27/22, 29419.88, 29659.12, 28958.22, 29134.99
09/26/22, 29536.84, 29630.77, 29161.12, 29260.81
09/23/22, 29955.65, 29955.65, 29250.47, 29590.41
09/22/22, 30204.52, 30302.28, 29994.53, 30076.68
09/21/22, 30819.39, 31020.79, 30181.99, 30183.78
09/20/22, 30888.53, 30888.53, 30465.91, 30706.23
09/19/22, 30722.86, 31026.89, 30559.37, 31019.68
09/16/22, 30866.61, 30866.61, 30550.08, 30822.42
09/15/22, 31124.68, 31277.69, 30882.08, 30961.82
09/14/22, 31141.02, 31276.82, 30885.02, 31135.09
09/13/22, 32006.50, 32006.50, 31018.54, 31104.97
09/12/22, 32159.49, 32504.04, 32159.49, 32381.34
09/09/22, 31876.22, 32227.74, 31876.22, 32151.71
09/08/22, 31481.95, 31783.37, 31321.50, 31774.52
09/07/22, 31145.63, 31644.34, 31095.21, 31581.28
09/06/22, 31343.79, 31463.89, 31048.46, 31145.30
09/02/22, 31848.50, 32026.90, 31182.09, 31318.44
09/01/22, 31454.58, 31677.51, 31219.75, 31656.42
08/31/22, 31827.15, 31966.04, 31509.59, 31510.43
08/30/22, 32163.84, 32205.66, 31647.22, 31790.87
08/29/22, 32188.00, 32325.16, 31972.79, 32098.99
08/26/22, 33293.43, 33364.70, 32278.22, 32283.40
08/25/22, 33029.27, 33306.09, 32889.85, 33291.78
08/24/22, 32899.01, 33095.50, 32828.56, 32969.23
08/23/22, 33033.52, 33138.26, 32858.89, 32909.59
08/22/22, 33586.59, 33586.59, 33007.63, 33063.61
08/19/22, 33904.69, 33904.69, 33627.09, 33706.74
08/18/22, 33981.86, 34043.83, 33844.46, 33999.04
08/17/22, 34029.55, 34161.01, 33828.41, 33980.32
08/16/22, 33924.35, 34281.36, 33852.57, 34152.01
08/15/22, 33710.70, 33954.71, 33582.96, 33912.44
08/12/22, 33430.72, 33767.09, 33398.32, 33761.05
08/11/22, 33451.51, 33651.80, 33289.83, 33336.67
08/10/22, 33130.63, 33364.41, 33130.63, 33309.51
08/09/22, 32807.36, 32877.53, 32702.66, 32774.41
08/08/22, 32877.36, 33109.96, 32769.10, 32832.54
08/05/22, 32593.90, 32814.61, 32489.62, 32803.47
08/04/22, 32805.69, 32829.22, 32652.63, 32726.82
08/03/22, 32514.21, 32912.74, 32514.21, 32812.50
08/02/22, 32691.29, 32772.93, 32387.12, 32396.17
08/01/22, 32755.71, 32972.03, 32640.79, 32798.40
07/29/22, 32515.62, 32910.18, 32493.02, 32845.13
07/28/22, 32197.62, 32609.54, 31982.61, 32529.63
07/27/22, 31865.05, 32336.23, 31799.43, 32197.59
07/26/22, 31950.04, 31950.04, 31705.36, 31761.54
07/25/22, 31950.93, 32029.03, 31821.67, 31990.04
07/22/22, 32167.92, 32219.25, 31731.47, 31899.29
07/21/22, 31826.49, 32040.63, 31534.08, 32036.90
07/20/22, 31829.99, 31944.45, 31646.95, 31874.84
07/19/22, 31165.91, 31842.25, 31165.91, 31827.05
07/18/22, 31475.98, 31644.68, 30982.97, 31072.61
07/15/22, 30775.37, 31288.26, 30775.37, 31288.26
07/14/22, 30451.80, 30680.12, 30143.93, 30630.17
07/13/22, 30743.63, 30979.17, 30514.61, 30772.79
07/12/22, 31113.31, 31346.10, 30860.51, 30981.33
07/11/22, 31277.98, 31367.55, 31114.40, 31173.84
07/08/22, 31348.43, 31511.46, 31212.45, 31338.15
