,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100
2 Jan 2020,4.0865,5.3983,4.5824,3.7593,4.2181,2.8632,3.1466,3.0345,52.4616
3 Jan 2020,4.0995,5.3853,4.5800,3.7893,4.2276,2.8565,3.1550,3.0396,52.6667
6 Jan 2020,4.1080,5.3743,4.5870,3.8018,4.2300,2.8518,3.1652,3.0421,52.8251
7 Jan 2020,4.0955,5.3952,4.5837,3.7755,4.2252,2.8408,3.1588,3.0376,52.6929
8 Jan 2020,4.1040,5.3892,4.5780,3.7872,4.2309,2.8201,3.1611,3.0388,52.7771
9 Jan 2020,4.0912,5.3620,4.5476,3.7467,4.1992,2.8111,3.1389,3.0297,52.6162
10 Jan 2020,4.0830,5.3359,4.5354,3.7276,4.1954,2.8048,3.1255,3.0229,52.5804
13 Jan 2020,4.0645,5.2999,4.5236,3.7080,4.1784,2.8112,3.1156,3.0190,52.3166
14 Jan 2020,4.0615,5.2761,4.5227,3.6898,4.1822,2.8022,3.1102,3.0161,52.2537
15 Jan 2020,4.0790,5.3131,4.5401,3.7117,4.2160,2.8129,3.1230,3.0268,52.4485
16 Jan 2020,4.0685,5.3084,4.5374,3.7008,4.2182,2.8095,3.1188,3.0212,52.3522
17 Jan 2020,4.0625,5.3115,4.5222,3.6860,4.2066,2.8005,3.1133,3.0167,52.2753
20 Jan 2020,4.0575,5.2766,4.5022,3.6824,4.1910,2.7928,3.1055,3.0127,52.2345
21 Jan 2020,4.0690,5.2952,4.5158,3.6999,4.2050,2.7934,3.1167,3.0162,52.3496
22 Jan 2020,4.0735,5.3110,4.5140,3.7023,4.2001,2.7871,3.1130,3.0179,52.4091
23 Jan 2020,4.0655,5.3388,4.5060,3.7089,4.1988,2.7932,3.0885,3.0144,52.2958
24 Jan 2020,4.0645,5.3336,4.4913,3.7127,4.1915,2.7834,3.0957,3.0104,52.2977
28 Jan 2020,4.0835,5.3314,4.5006,3.7462,4.2081,2.7598,3.0963,3.0069,52.4963
29 Jan 2020,4.0785,5.3096,4.4923,3.7347,4.1863,2.7636,3.1001,3.0042,52.4617
30 Jan 2020,4.0885,5.3218,4.5037,3.7549,4.2054,2.7540,3.0970,2.9992,52.6160
31 Jan 2020,4.0885,5.3535,4.5074,3.7483,4.2123,2.7446,3.0961,3.0019,52.6285
3 Feb 2020,4.1155,5.4152,4.5606,3.7915,4.2694,2.7547,3.1079,3.0082,52.9935
4 Feb 2020,4.1170,5.3521,4.5524,3.7877,4.2582,2.7644,3.0976,3.0031,52.9903
5 Feb 2020,4.1210,5.3668,4.5471,3.7654,4.2504,2.7767,3.1006,2.9849,53.0670
6 Feb 2020,4.1215,5.3522,4.5326,3.7504,4.2315,2.7826,3.1018,2.9752,53.0899
7 Feb 2020,4.1350,5.3501,4.5417,3.7622,4.2436,2.7789,3.1122,2.9844,53.2823
10 Feb 2020,4.1455,5.3462,4.5404,3.7767,4.2422,2.7773,3.1177,2.9833,53.3777
11 Feb 2020,4.1405,5.3485,4.5187,3.7684,4.2321,2.7783,3.1125,2.9837,53.3264
12 Feb 2020,4.1340,5.3573,4.5123,3.7642,4.2389,2.7818,3.1125,2.9829,53.2331
13 Feb 2020,4.1390,5.3615,4.4991,3.7675,4.2321,2.7812,3.1241,2.9831,53.2748
14 Feb 2020,4.1410,5.4003,4.4853,3.7699,4.2246,2.7838,3.1229,2.9798,53.3074
17 Feb 2020,4.1380,5.3982,4.4850,3.7682,4.2130,2.7818,3.1260,2.9763,53.2784
18 Feb 2020,4.1495,5.3960,4.4949,3.7824,4.2325,2.7764,3.1323,2.9842,53.4223
19 Feb 2020,4.1595,5.4067,4.4916,3.7795,4.2299,2.7852,3.1402,2.9902,53.5332
20 Feb 2020,4.1845,5.4016,4.5182,3.7575,4.2541,2.7770,3.1623,2.9871,53.8251
21 Feb 2020,4.1915,5.4047,4.5228,3.7419,4.2612,2.7674,3.1618,2.9942,53.8279
24 Feb 2020,4.2215,5.4603,4.5687,3.7842,4.3050,2.7896,3.1826,3.0128,54.1711
25 Feb 2020,4.2250,5.4665,4.5894,3.8116,4.3163,2.7972,3.1805,3.0249,54.2463
26 Feb 2020,4.2395,5.5084,4.6071,3.8368,4.3366,2.7989,3.1929,3.0322,54.4157
27 Feb 2020,4.2225,5.4572,4.6048,3.8305,4.3345,2.7689,3.1654,3.0230,54.1634
28 Feb 2020,4.2260,5.4408,4.6433,3.8719,4.3601,2.7623,3.1445,3.0236,54.1958
2 Mar 2020,4.2015,5.3933,4.6437,3.8818,4.3584,2.7425,3.1473,3.0216,53.9830
3 Mar 2020,4.2050,5.3721,4.6821,3.8930,4.3866,2.7545,3.1539,3.0235,54.0360
4 Mar 2020,4.1830,5.3599,4.6686,3.8939,4.3707,2.7631,3.1323,3.0162,53.8529
5 Mar 2020,4.1655,5.3612,4.6397,3.8812,4.3565,2.7569,3.1094,3.0044,53.5890
6 Mar 2020,4.1875,5.4268,4.7040,3.9574,4.4336,2.7621,3.1221,3.0218,53.8845
9 Mar 2020,4.2085,5.5045,4.8048,4.1073,4.5487,2.7442,3.0872,3.0475,54.1763
10 Mar 2020,4.2260,5.5196,4.8155,4.0752,4.5343,2.7801,3.0980,3.0505,54.3922
11 Mar 2020,4.2355,5.4714,4.7984,4.0438,4.5261,2.7594,3.0934,3.0470,54.5211
12 Mar 2020,4.2530,5.4540,4.8114,4.1143,4.5582,2.7474,3.0845,3.0400,54.7288
13 Mar 2020,4.2950,5.3922,4.8164,4.0924,4.5512,2.7013,3.0822,3.0405,55.2380
16 Mar 2020,4.3010,5.3087,4.7849,4.0236,4.5283,2.6529,3.1059,3.0324,55.3921
17 Mar 2020,4.3300,5.3105,4.8405,4.0655,4.5641,2.6517,3.0961,3.0474,55.7476
18 Mar 2020,4.3580,5.2799,4.8060,4.0681,4.5457,2.6231,3.0729,3.0528,56.1323
19 Mar 2020,4.4065,5.0690,4.8022,4.0317,4.5414,2.4487,3.0071,3.0340,56.7369
20 Mar 2020,4.4045,5.1209,4.7282,3.9974,4.4907,2.5841,3.0585,3.0378,56.7799
23 Mar 2020,4.4450,5.1773,4.7624,4.0305,4.5191,2.5583,3.0800,3.0465,57.2909
24 Mar 2020,4.4350,5.1568,4.7900,4.0207,4.5257,2.6269,3.0752,3.0488,57.1841
25 Mar 2020,4.3940,5.1858,4.7495,3.9545,4.4830,2.6283,3.0537,3.0365,56.6591
26 Mar 2020,4.3625,5.1741,4.7630,3.9410,4.4806,2.5806,3.0645,3.0125,56.2587
27 Mar 2020,4.2630,5.2401,4.7234,3.9325,4.4416,2.6064,3.0446,2.9873,54.9933
30 Mar 2020,4.3575,5.3937,4.8283,4.0588,4.5621,2.6742,3.1008,3.0556,56.1986
31 Mar 2020,4.3025,5.3106,4.7439,3.9693,4.4822,2.6568,3.0341,3.0195,55.4853
1 Apr 2020,4.3275,5.3566,4.7687,4.0146,4.5003,2.6497,3.0677,3.0385,55.8185
2 Apr 2020,4.3860,5.4321,4.7978,4.0821,4.5317,2.6678,3.0940,3.0555,56.5749
3 Apr 2020,4.3600,5.3942,4.7289,4.0374,4.4796,2.6450,3.0789,3.0457,56.2443
6 Apr 2020,4.3750,5.3530,4.7316,4.0189,4.4768,2.6329,3.0849,3.0376,56.4287
7 Apr 2020,4.3500,5.3346,4.7045,3.9987,4.4542,2.6592,3.0845,3.0385,56.1044
8 Apr 2020,4.3398,5.3427,4.7130,3.9867,4.4638,2.6594,3.0897,3.0373,55.9823
9 Apr 2020,4.3410,5.3815,4.7178,3.9838,4.4679,2.7073,3.0951,3.0465,55.9865
10 Apr 2020,4.3080,5.3695,4.7138,3.9747,4.4606,2.7311,3.0838,3.0482,55.5642
13 Apr 2020,4.3225,5.3893,4.7262,4.0001,4.4770,2.7390,3.0979,3.0508,55.7555
14 Apr 2020,4.3230,5.4314,4.7326,4.0167,4.4830,2.7788,3.1179,3.0563,55.7627
15 Apr 2020,4.3300,5.4595,4.7533,4.0428,4.5057,2.7753,3.1156,3.0614,55.8573
16 Apr 2020,4.3740,5.4535,4.7563,4.0513,4.5195,2.7462,3.0983,3.0616,56.4332
17 Apr 2020,4.3650,5.4532,4.7434,4.0501,4.5060,2.7750,3.1110,3.0650,56.3095
20 Apr 2020,4.3880,5.4732,4.7658,4.0688,4.5307,2.7833,3.1176,3.0850,56.6135
21 Apr 2020,4.3922,5.4486,4.7603,4.0837,4.5267,2.7689,3.1023,3.0806,56.6727
22 Apr 2020,4.3950,5.4004,4.7688,4.0798,4.5302,2.7710,3.0910,3.0740,56.7082
23 Apr 2020,4.3650,5.3801,4.7181,4.0497,4.4868,2.7502,3.0778,3.0592,56.3175
24 Apr 2020,4.3650,5.3925,4.7015,4.0542,4.4678,2.7757,3.1032,3.0615,56.3153
27 Apr 2020,4.3540,5.4003,4.7160,4.0557,4.4730,2.8014,3.0943,3.0625,56.1803
28 Apr 2020,4.3705,5.4264,4.7306,4.0737,4.4787,2.8155,3.1093,3.0754,56.3881
29 Apr 2020,4.3600,5.4391,4.7295,4.0926,4.4819,2.8493,3.1262,3.0808,56.2577
30 Apr 2020,4.3260,5.3915,4.6993,4.0603,4.4378,2.8361,3.1192,3.0663,55.8154
4 May 2020,4.3385,5.4053,4.7476,4.0636,4.5029,2.7771,3.0752,3.0618,55.9687
5 May 2020,4.3100,5.3713,4.6996,4.0422,4.4629,2.7797,3.0638,3.0484,55.5792
6 May 2020,4.3110,5.3592,4.6710,4.0526,4.4315,2.7718,3.0672,3.0413,55.6125
8 May 2020,4.3055,5.3365,4.6702,4.0479,4.4304,2.8132,3.0889,3.0495,55.5487
12 May 2020,4.3450,5.3548,4.6956,4.0454,4.4651,2.8056,3.0935,3.0630,56.0605
13 May 2020,4.3370,5.3206,4.7059,4.0451,4.4737,2.8069,3.0857,3.0596,55.9566
14 May 2020,4.3350,5.2939,4.6855,4.0550,4.4555,2.7904,3.0747,3.0498,55.9322
15 May 2020,4.3455,5.3054,4.6953,4.0527,4.4649,2.8055,3.0938,3.0514,56.0598
18 May 2020,4.3550,5.2730,4.7136,4.0650,4.4832,2.8053,3.0937,3.0549,56.1809
19 May 2020,4.3495,5.3031,4.7444,4.0511,4.4753,2.8348,3.1159,3.0654,56.1164
20 May 2020,4.3560,5.3405,4.7655,4.0414,4.4903,2.8525,3.1280,3.0744,56.2039
21 May 2020,4.3525,5.3085,4.7714,4.0434,4.5036,2.8552,3.1228,3.0741,56.1595
22 May 2020,4.3620,5.3271,4.7694,4.0554,4.4890,2.8541,3.1167,3.0725,56.2610
27 May 2020,4.3580,5.3682,4.7772,4.0530,4.5091,2.8961,3.1629,3.0727,56.2156
28 May 2020,4.3600,5.3423,4.8012,4.0451,4.5018,2.8780,3.1656,3.0698,56.2316
29 May 2020,4.3485,5.3610,4.8225,4.0491,4.5149,2.8889,3.1568,3.0747,56.0891
1 Jun 2020,4.3230,5.3545,4.8128,4.0164,4.4994,2.9046,3.1479,3.0694,55.7623
2 Jun 2020,4.2915,5.3579,4.7749,3.9838,4.4638,2.9137,3.1672,3.0522,55.3667
3 Jun 2020,4.2620,5.3644,4.7769,3.9250,4.4350,2.9583,3.1567,3.0520,54.9904
4 Jun 2020,4.2745,5.3604,4.7947,3.9246,4.4454,2.9486,3.1628,3.0492,55.1531
5 Jun 2020,4.2670,5.3756,4.8384,3.9070,4.4639,2.9664,3.1612,3.0587,55.0577
9 Jun 2020,4.2615,5.4176,4.8102,3.9420,4.4469,2.9816,3.1826,3.0664,54.9850
10 Jun 2020,4.2675,5.4368,4.8406,3.9629,4.4874,2.9749,3.1855,3.0756,55.0635
11 Jun 2020,4.2540,5.3971,4.8317,3.9763,4.5030,2.9495,3.1600,3.0625,54.8864
12 Jun 2020,4.2660,5.3619,4.8180,3.9843,4.5172,2.9160,3.1316,3.0642,55.0420
15 Jun 2020,4.2725,5.3500,4.8123,3.9865,4.4893,2.9190,3.1369,3.0657,55.1280
16 Jun 2020,4.2630,5.3985,4.8336,3.9676,4.4907,2.9656,3.1512,3.0685,55.0054
17 Jun 2020,4.2790,5.3706,4.8203,3.9888,4.5014,2.9380,3.1560,3.0678,55.2111
18 Jun 2020,4.2755,5.3668,4.8097,4.0008,4.5034,2.9383,3.1519,3.0709,55.1667
19 Jun 2020,4.2790,5.3205,4.7989,4.0024,4.5014,2.9369,3.1474,3.0705,55.2111
22 Jun 2020,4.2740,5.2876,4.7837,3.9987,4.4919,2.9311,3.1452,3.0626,55.1459
23 Jun 2020,4.2760,5.3341,4.8193,3.9897,4.5139,2.9560,3.1588,3.0682,55.1731
24 Jun 2020,4.2765,5.3510,4.8393,4.0146,4.5292,2.9685,3.1553,3.0819,55.1803
25 Jun 2020,4.2790,5.3096,4.8105,3.9899,4.5080,2.9367,3.1362,3.0734,55.2111
26 Jun 2020,4.2780,5.3158,4.8010,3.9923,4.5122,2.9473,3.1371,3.0757,55.1982
29 Jun 2020,4.2850,5.2995,4.8161,3.9993,4.5234,2.9455,3.1364,3.0739,55.2871
30 Jun 2020,4.2800,5.2655,4.8099,3.9729,4.4979,2.9455,3.1325,3.0718,55.2233
1 Jul 2020,4.2815,5.2960,4.8068,3.9759,4.5202,2.9532,3.1536,3.0716,55.2420
2 Jul 2020,4.2860,5.3521,4.8275,3.9881,4.5311,2.9653,3.1508,3.0755,55.3000
3 Jul 2020,4.2870,5.3440,4.8207,3.9881,4.5346,2.9715,3.1614,3.0740,55.3143
6 Jul 2020,4.2840,5.3520,4.8336,3.9781,4.5420,2.9838,3.1640,3.0781,55.2771
7 Jul 2020,4.2740,5.3434,4.8341,3.9797,4.5340,2.9771,3.1542,3.0696,55.1480
8 Jul 2020,4.2785,5.3734,4.8253,3.9757,4.5393,2.9701,3.1457,3.0664,55.2054
9 Jul 2020,4.2650,5.3861,4.8459,3.9769,4.5525,2.9800,3.1584,3.0670,55.0319
10 Jul 2020,4.2680,5.3736,4.8117,3.9882,4.5315,2.9639,3.1397,3.0625,55.0692
13 Jul 2020,4.2605,5.3921,4.8259,3.9879,4.5344,2.9696,3.1388,3.0689,54.9689
14 Jul 2020,4.2705,5.3605,4.8434,3.9853,4.5334,2.9637,3.1364,3.0649,55.0961
15 Jul 2020,4.2655,5.3615,4.8618,3.9759,4.5361,2.9824,3.1355,3.0662,55.0352
16 Jul 2020,4.2675,5.3598,4.8671,3.9893,4.5132,2.9838,3.1598,3.0664,55.0460
17 Jul 2020,4.2695,5.3670,4.8638,3.9814,4.5185,2.9837,3.1449,3.0688,55.0687
20 Jul 2020,4.2648,5.3401,4.8699,3.9722,4.5382,2.9779,3.1385,3.0657,55.0024
21 Jul 2020,4.2625,5.3995,4.8784,3.9757,4.5404,2.9936,3.1548,3.0660,54.9933
22 Jul 2020,4.2535,5.4124,4.9088,3.9817,4.5621,3.0364,3.1641,3.0750,54.8764
23 Jul 2020,4.2525,5.4156,4.9233,3.9697,4.5795,3.0384,3.1726,3.0726,54.8593
24 Jul 2020,4.2645,5.4351,4.9524,4.0082,4.6138,3.0261,3.1806,3.0786,55.0134
27 Jul 2020,4.2515,5.4600,4.9787,4.0274,4.6351,3.0345,3.1776,3.0828,54.8464
28 Jul 2020,4.2475,5.4597,4.9800,4.0228,4.6066,3.0308,3.1769,3.0792,54.8019
29 Jul 2020,4.2490,5.4908,4.9834,4.0445,4.6316,3.0457,3.1782,3.0833,54.8240
30 Jul 2020,4.2425,5.5085,4.9962,4.0387,4.6496,3.0457,3.1796,3.0852,54.7416
3 Aug 2020,4.2335,5.5429,4.9837,4.0005,4.6273,3.0206,3.1582,3.0769,54.6240
4 Aug 2020,4.2175,5.5144,4.9632,3.9745,4.5937,3.0052,3.1493,3.0649,54.4190
5 Aug 2020,4.2005,5.4974,4.9627,3.9779,4.6028,3.0197,3.1616,3.0633,54.1990
6 Aug 2020,4.1875,5.4988,4.9718,3.9679,4.6098,3.0144,3.1568,3.0575,54.0312
7 Aug 2020,4.1975,5.5004,4.9644,3.9751,4.5970,3.0220,3.1402,3.0588,54.1602
10 Aug 2020,4.1940,5.4830,4.9470,3.9643,4.5929,3.0048,3.1357,3.0560,54.1144
11 Aug 2020,4.1985,5.4950,4.9334,3.9595,4.5880,3.0147,3.1506,3.0591,54.1731
12 Aug 2020,4.1985,5.4692,4.9215,3.9332,4.5671,2.9891,3.1485,3.0537,54.1690
13 Aug 2020,4.1895,5.4704,4.9470,3.9259,4.5983,3.0035,3.1640,3.0554,54.0556
14 Aug 2020,4.2025,5.4874,4.9632,3.9303,4.6133,3.0025,3.1772,3.0605,54.2234
17 Aug 2020,4.1875,5.4854,4.9664,3.9310,4.6057,3.0081,3.1594,3.0571,54.0305
18 Aug 2020,4.1880,5.4984,4.9779,3.9642,4.6253,3.0231,3.1749,3.0626,54.0377
19 Aug 2020,4.1825,5.5368,4.9897,3.9616,4.6272,3.0265,3.1771,3.0631,53.9667
21 Aug 2020,4.1770,5.5272,4.9596,3.9529,4.6048,3.0068,3.1722,3.0564,53.8957
24 Aug 2020,4.1805,5.4702,4.9280,3.9504,4.5806,2.9962,3.1735,3.0465,53.9402
25 Aug 2020,4.1715,5.4665,4.9249,3.9363,4.5765,2.9924,3.1539,3.0464,53.8241
26 Aug 2020,4.1700,5.4771,4.9285,3.9175,4.5862,2.9984,3.1650,3.0471,53.8054
27 Aug 2020,4.1715,5.5103,4.9363,3.9363,4.5952,3.0185,3.1731,3.0546,53.8241
28 Aug 2020,4.1745,5.5306,4.9505,3.9060,4.6036,3.0428,3.1862,3.0601,53.8642
1 Sep 2020,4.1475,5.5610,4.9729,3.9244,4.6035,3.0710,3.1879,3.0563,53.5158
2 Sep 2020,4.1495,5.5514,4.9392,3.9126,4.5551,3.0507,3.1753,3.0482,53.5419
3 Sep 2020,4.1425,5.5203,4.8968,3.8983,4.5412,3.0311,3.1700,3.0404,53.4489
4 Sep 2020,4.1475,5.5081,4.9140,3.9059,4.5584,3.0159,3.1592,3.0380,53.5151
7 Sep 2020,4.1485,5.4941,4.9106,3.9032,4.5398,3.0230,3.1714,3.0393,53.5263
8 Sep 2020,4.1665,5.4777,4.9200,3.9198,4.5397,3.0320,3.1782,3.0460,53.7596
9 Sep 2020,4.1735,5.4101,4.9162,3.9389,4.5470,3.0133,3.1523,3.0432,53.8488
10 Sep 2020,4.1655,5.4127,4.9245,3.9255,4.5717,3.0283,3.1665,3.0460,53.7460
11 Sep 2020,4.1565,5.3318,4.9186,3.9148,4.5686,3.0241,3.1548,3.0392,53.6305
14 Sep 2020,4.1485,5.3188,4.9149,3.9105,4.5653,3.0205,3.1514,3.0366,53.5273
15 Sep 2020,4.1340,5.3151,4.9151,3.9113,4.5579,3.0251,3.1431,3.0370,53.3416
17 Sep 2020,4.1470,5.3552,4.8744,3.9475,4.5414,3.0122,3.1342,3.0434,53.5093
18 Sep 2020,4.1275,5.3490,4.8911,3.9375,4.5440,3.0226,3.1363,3.0433,53.2577
21 Sep 2020,4.1105,5.3268,4.8779,3.9416,4.5178,3.0081,3.1197,3.0338,53.0384
22 Sep 2020,4.1365,5.3036,4.8676,3.9570,4.5230,2.9880,3.1093,3.0365,53.3732
23 Sep 2020,4.1410,5.2688,4.8375,3.9399,4.4962,2.9519,3.1086,3.0303,53.4312
24 Sep 2020,4.1635,5.2935,4.8530,3.9487,4.5099,2.9351,3.1070,3.0289,53.7212
25 Sep 2020,4.1685,5.3138,4.8621,3.9544,4.4968,2.9425,3.1221,3.0305,53.7854
28 Sep 2020,4.1670,5.3219,4.8471,3.9552,4.4879,2.9409,3.1128,3.0292,53.7664
29 Sep 2020,4.1645,5.3547,4.8614,3.9480,4.5083,2.9501,3.1125,3.0366,53.7355
30 Sep 2020,4.1585,5.3383,4.8775,3.9378,4.5132,2.9586,3.1014,3.0373,53.6577
1 Oct 2020,4.1480,5.3656,4.8712,3.9331,4.5109,2.9772,3.1201,3.0423,53.5215
2 Oct 2020,4.1605,5.3514,4.8744,3.9382,4.5181,2.9787,3.1284,3.0465,53.6828
5 Oct 2020,4.1595,5.3820,4.8783,3.9417,4.5365,2.9863,3.1326,3.0532,53.6706
6 Oct 2020,4.1500,5.3902,4.8937,3.9275,4.5373,2.9841,3.1315,3.0535,53.5480
7 Oct 2020,4.1595,5.3587,4.8787,3.9354,4.5291,2.9603,3.1227,3.0540,53.6706
8 Oct 2020,4.1555,5.3731,4.8912,3.9205,4.5326,2.9679,3.1345,3.0573,53.6190
9 Oct 2020,4.1475,5.3737,4.8849,3.9185,4.5303,2.9781,3.1456,3.0575,53.5158
12 Oct 2020,4.1385,5.3933,4.8905,3.9229,4.5438,2.9915,3.1512,3.0557,53.3997
13 Oct 2020,4.1550,5.4196,4.9008,3.9421,4.5672,2.9814,3.1641,3.0571,53.6126
14 Oct 2020,4.1460,5.3631,4.8691,3.9323,4.5309,2.9727,3.1553,3.0509,53.4957
15 Oct 2020,4.1480,5.3974,4.8741,3.9402,4.5423,2.9581,3.1543,3.0553,53.5222
16 Oct 2020,4.1545,5.3570,4.8618,3.9475,4.5399,2.9403,3.1387,3.0522,53.6061
19 Oct 2020,4.1470,5.3610,4.8549,3.9332,4.5293,2.9388,3.1445,3.0545,53.5093
20 Oct 2020,4.1455,5.3690,4.8819,3.9277,4.5555,2.9220,3.1439,3.0546,53.4900
21 Oct 2020,4.1450,5.3783,4.9106,3.9354,4.5738,2.9345,3.1653,3.0578,53.4835
22 Oct 2020,4.1495,5.4466,4.9140,3.9623,4.5760,2.9422,3.1501,3.0593,53.5416
23 Oct 2020,4.1465,5.4182,4.8933,3.9594,4.5691,2.9498,3.1536,3.0514,53.5029
26 Oct 2020,4.1645,5.4249,4.9283,3.9709,4.6014,2.9624,3.1654,3.0636,53.7351
27 Oct 2020,4.1650,5.4287,4.9234,3.9767,4.5921,2.9705,3.1589,3.0635,53.7416
28 Oct 2020,4.1645,5.4282,4.9045,3.9928,4.5822,2.9726,3.1568,3.0631,53.7351
30 Oct 2020,4.1570,5.3762,4.8599,3.9816,4.5481,2.9309,3.1256,3.0482,53.6231
2 Nov 2020,4.1550,5.3712,4.8366,3.9691,4.5306,2.9143,3.1154,3.0392,53.5814
3 Nov 2020,4.1585,5.3749,4.8453,3.9709,4.5282,2.9301,3.1444,3.0491,53.6487
4 Nov 2020,4.1635,5.4113,4.8484,3.9641,4.5451,2.9592,3.1457,3.0459,53.7087
5 Nov 2020,4.1525,5.3810,4.8730,3.9823,4.5572,2.9798,3.1592,3.0584,53.5499
6 Nov 2020,4.1430,5.4393,4.8987,4.0070,4.5845,3.0051,3.1649,3.0680,53.4377
9 Nov 2020,4.1145,5.4246,4.8930,3.9806,4.5732,2.9991,3.1631,3.0620,53.0636
10 Nov 2020,4.1155,5.4253,4.8688,3.9208,4.5126,2.9951,3.1638,3.0571,53.0789
11 Nov 2020,4.1230,5.4708,4.8765,3.9235,4.5087,3.0147,3.1662,3.0635,53.1743
12 Nov 2020,4.1340,5.4625,4.8676,3.9265,4.5121,3.0077,3.1616,3.0645,53.3127
13 Nov 2020,4.1315,5.4183,4.8760,3.9372,4.5153,2.9844,3.1378,3.0600,53.2818
16 Nov 2020,4.1145,5.4431,4.8769,3.9364,4.5125,2.9986,3.1382,3.0576,53.0681
17 Nov 2020,4.1058,5.4292,4.8696,3.9284,4.5002,3.0060,3.1417,3.0539,52.9552
18 Nov 2020,4.0980,5.4313,4.8613,3.9364,4.4979,2.9876,3.1281,3.0522,52.8600
19 Nov 2020,4.0950,5.4160,4.8495,3.9468,4.4919,2.9855,3.1283,3.0477,52.8206
20 Nov 2020,4.0905,5.4254,4.8577,3.9402,4.4948,2.9810,3.1279,3.0450,52.7558
23 Nov 2020,4.0895,5.4466,4.8553,3.9415,4.4932,2.9919,3.1278,3.0472,52.7473
24 Nov 2020,4.0945,5.4586,4.8499,3.9157,4.4866,2.9955,3.1374,3.0470,52.8186
25 Nov 2020,4.0870,5.4602,4.8664,3.9110,4.4873,3.0070,3.1441,3.0460,52.7253
26 Nov 2020,4.0830,5.4647,4.8684,3.9134,4.5004,3.0065,3.1404,3.0499,52.6771
27 Nov 2020,4.0725,5.4449,4.8561,3.9183,4.4965,3.0018,3.1296,3.0427,52.5416
30 Nov 2020,4.0690,5.4268,4.8698,3.9153,4.5024,3.0062,3.1329,3.0428,52.4965
1 Dec 2020,4.0780,5.4476,4.8763,3.9048,4.4947,3.0037,3.1441,3.0450,52.5997
2 Dec 2020,4.0715,5.4654,4.9196,3.9005,4.5304,3.0058,3.1471,3.0467,52.5141
3 Dec 2020,4.0725,5.4521,4.9375,3.8992,4.5561,3.0177,3.1520,3.0458,52.5355
4 Dec 2020,4.0640,5.4657,4.9363,3.9131,4.5622,3.0177,3.1599,3.0480,52.4289
7 Dec 2020,4.0710,5.4657,4.9400,3.9157,4.5708,3.0256,3.1841,3.0510,52.5240
8 Dec 2020,4.0690,5.4364,4.9298,3.9112,4.5670,3.0212,3.1819,3.0442,52.4948
9 Dec 2020,4.0685,5.4414,4.9314,3.9062,4.5804,3.0223,3.1783,3.0472,52.4849
10 Dec 2020,4.0625,5.4316,4.9132,3.8900,4.5703,3.0347,3.1737,3.0380,52.4065
11 Dec 2020,4.0545,5.4006,4.9293,3.8969,4.5777,3.0656,3.1859,3.0399,52.3084
14 Dec 2020,4.0495,5.3968,4.9131,3.8941,4.5554,3.0513,3.1742,3.0348,52.2398
15 Dec 2020,4.0650,5.4225,4.9396,3.9032,4.5844,3.0559,3.1841,3.0423,52.4384
16 Dec 2020,4.0510,5.4466,4.9264,3.9127,4.5753,3.0597,3.1869,3.0422,52.2588
17 Dec 2020,4.0415,5.4669,4.9349,3.9107,4.5662,3.0667,3.1754,3.0442,52.1356
18 Dec 2020,4.0375,5.4635,4.9445,3.9042,4.5629,3.0687,3.1678,3.0438,52.0763
21 Dec 2020,4.0465,5.4037,4.9309,3.9144,4.5638,3.0636,3.1487,3.0362,52.1951
22 Dec 2020,4.0550,5.4378,4.9595,3.9207,4.5747,3.0664,3.1517,3.0373,52.3013
23 Dec 2020,4.0615,5.4448,4.9510,3.9243,4.5756,3.0674,3.1516,3.0416,52.3885
24 Dec 2020,4.0595,5.5014,4.9567,3.9209,4.5746,3.0816,3.1604,3.0544,52.3627
28 Dec 2020,4.0535,5.4990,4.9505,3.9138,4.5550,3.0857,3.1539,3.0544,52.2894
29 Dec 2020,4.0510,5.4660,4.9590,3.9082,4.5681,3.0780,3.1586,3.0487,52.2474
30 Dec 2020,4.0400,5.4694,4.9623,3.9092,4.5776,3.0884,3.1567,3.0496,52.1085
31 Dec 2020,4.0130,5.4653,4.9324,3.8891,4.5512,3.0896,3.1484,3.0354,51.7663
4 Jan 2021,3.9965,5.4736,4.8971,3.8822,4.5222,3.0841,3.1471,3.0335,51.5481
5 Jan 2021,4.0065,5.4430,4.9174,3.8887,4.5528,3.0846,3.1416,3.0382,51.6788
6 Jan 2021,4.0145,5.4601,4.9322,3.9046,4.5669,3.1108,3.1653,3.0424,51.7823
7 Jan 2021,4.0130,5.4583,4.9470,3.8914,4.5680,3.1289,3.1666,3.0435,51.7609
8 Jan 2021,4.0425,5.4830,4.9571,3.8930,4.5642,3.1384,3.1886,3.0499,52.1414
11 Jan 2021,4.0420,5.4589,4.9203,3.8800,4.5485,3.1150,3.1704,3.0376,52.1249
12 Jan 2021,4.0600,5.4897,4.9321,3.8932,4.5557,3.1254,3.1762,3.0500,52.3580
13 Jan 2021,4.0455,5.5375,4.9416,3.9055,4.5673,3.1413,3.1833,3.0577,52.1727
14 Jan 2021,4.0430,5.5132,4.9104,3.8854,4.5511,3.1297,3.1848,3.0459,52.1432
15 Jan 2021,4.0345,5.5200,4.9017,3.8881,4.5408,3.1326,3.1882,3.0434,52.0369
18 Jan 2021,4.0470,5.4942,4.8868,3.9009,4.5406,3.1142,3.1687,3.0400,52.1965
